gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c
182,249219853,250240085,1020232,6.008698941235
183,250240085,250399669,159584,5.202989346538
184,250399669,253625345,3225676,6.508620742942
185,253625345,254806477,1181132,6.072298435859
186,254806477,255838069,1031592,6.013507965524
187,255838069,258337061,2498992,6.397764865826
188,258337061,259806625,1469564,6.167188504489
189,259806625,261497977,1691352,6.228234001299
190,261497977,262543013,1045036,6.019131251530
191,262543013,263092141,549128,5.739673588921
192,263092141,263590133,497992,5.697222366085
193,263590133,264575149,985016,5.993443284970
194,264575149,267890585,3315436,6.520540648862
195,267890585,268276205,385620,5.586159550294
196,268276205,269334685,1058480,6.024682656430
197,269334685,270395249,1060564,6.025536881253
198,270395249,272732393,2337144,6.368685471690
199,272732393,274242289,1509896,6.178947034590
200,274242289,275141161,898872,5.953697852299
201,275141161,276213085,1071924,6.030163994731
202,276213085,277617565,1404480,6.147515559165
203,277617565,279140905,1523340,6.182796845978
204,279140905,282092845,2951940,6.470107525938
205,282092845,282546101,453256,5.656343561802
206,282546101,283178213,632112,5.800794035043
207,283178213,284265665,1087452,6.036410096344
208,284265665,287518001,3252336,6.512195406359
209,287518001,289068229,1550228,6.190395576790
210,289068229,289131257,63028,4.799533526343
211,289131257,290230069,1098812,6.040923393655
212,290230069,291330965,1100896,6.041746293759
213,291330965,292533265,1202300,6.080012847108
214,292533265,294096937,1563672,6.194145659511
215,294096937,296256397,2159460,6.334345163956
216,296256397,297368653,1112256,6.046204757203
217,297368653,297591893,223240,5.348772013845
218,297591893,302693885,5101992,6.707739773294
219,302693885,303468265,774380,5.888954127872
220,303468265,304284445,816180,5.911785948443
221,304284445,304593965,309520,5.490688716713
222,304593965,305721749,1127784,6.052225928911
223,305721749,307839241,2117492,6.325821778218
224,307839241,309443245,1604004,6.205205446975
225,309443245,310766861,1323616,6.121762008314
226,310766861,311906005,1139144,6.056578627022
227,311906005,313027961,1121956,6.049975825430
228,313027961,313047233,19272,4.284926786990
229,313047233,318152185,5104952,6.707991662930
230,318152185,318260045,107860,5.032860415952
231,318260045,319304773,1044728,6.019003234490
232,319304773,319890937,586164,5.768019142179
233,319890937,323535493,3644556,6.561644627717
234,323535493,325179829,1644336,6.215990565051
235,325179829,325624237,444408,5.647781868281
236,325624237,326790269,1166032,6.066710469147
237,326790269,327958385,1168116,6.067485972621
238,327958385,328854305,895920,5.952269231638
239,328854305,333183017,4328712,6.636358692080
240,333183017,334216481,1033464,6.014295352880
241,334216481,334362493,146012,5.164388549754
242,334362493,335544053,1181560,6.072455780143
243,335544053,335887705,343652,5.536118875777
244,335887705,339622021,3734316,6.572211065421
245,339622021,340828525,1206504,6.081528766092
246,340828525,341306689,478164,5.679576875858
247,341306689,342021445,714756,5.854157809719
248,342021445,345070925,3049480,6.484225789385
249,345070925,348471317,3400392,6.531528985755
250,348471317,348560761,89444,4.951551212938
251,348560761,349767125,1206364,6.081478368616
252,349767125,350563193,796068,5.900950166687
253,350563193,350975573,412380,5.615297594293
254,350975573,352274749,1299176,6.113667989142
255,352274749,353990473,1715724,6.234447426335
256,353990473,356098825,2108352,6.323943120248
257,356098825,356379725,280900,5.448551739202
258,356379725,357599533,1219808,6.086291477312
259,357599533,357823825,224292,5.350813783535
260,357823825,358821425,997600,5.998956440470
261,358821425,359552993,731568,5.864254700458
262,359552993,361677821,2124828,6.327323780657
263,361677821,364285417,2607596,6.416240306170
264,364285417,365158877,873460,5.941243021309
265,365158877,365518669,359792,5.556051502549
266,365518669,367300181,1781512,6.250788752040
267,367300181,369052069,1751888,6.243506337827
268,369052069,372277837,3225768,6.508633129345
269,372277837,372965905,688068,5.837631360569
270,372965905,373524533,558628,5.747122699966
271,373524533,374731237,1206704,6.081600752341
272,374731237,374773313,42076,4.624034446438
273,374773313,376500737,1727424,6.237398949183
274,376500737,378674993,2174256,6.337310677212
275,378674993,380356985,1681992,6.225823925847
276,380356985,381617125,1260140,6.100418797379
277,381617125,382236713,619588,5.792102997880
278,382236713,382879349,642636,5.807965050757
279,382879349,384427445,1548096,6.189797888503
280,384427445,386219665,1792220,6.253391319456
281,386219665,388016053,1796388,6.254400145282
282,388016053,388522861,506808,5.704843461635
283,388522861,389796445,1273584,6.105027594398
284,389796445,390223261,426816,5.630240691403
285,390223261,392028925,1805664,6.256636939487
286,392028925,393838757,1809832,6.257638262792
287,393838757,396062441,2223684,6.347073071216
288,396062441,396775465,713024,5.853104148214
289,396775465,398062493,1287028,6.109587995322
290,398062493,399351605,1289112,6.110290651154
291,399351605,401944985,2593380,6.413866157268
292,401944985,403777537,1832552,6.263056306911
293,403777537,405114797,1337260,6.126215854223
294,405114797,405614257,499460,5.698500712833
295,405614257,406415269,801012,5.903639022320
296,406415269,407717825,1302556,6.114796403732
