gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c,p_n,q_n,k_n,d_n,p_n_plus_1,q_n_plus_1,k_n_plus_1,d_n_plus_1
113,157224341,158371249,1146908,6.059528582073,4939,17031,1,2,4957,17093,3,2
114,158371249,159537485,1166236,6.066786443328,4957,17093,3,2,3518,12131,1,1
115,159537485,160353973,816488,5.911949806253,3518,12131,1,1,3527,12162,2,1
116,160353973,160938685,584712,5.766942006921,3527,12162,2,1,4997,17231,1,2
117,160938685,162099037,1160352,6.064589755148,4997,17231,1,2,5015,17293,3,2
118,162099037,164696393,2597356,6.414531479179,5015,17293,3,2,5055,17431,1,2
119,164696393,164841337,144944,5.161200242314,5055,17431,1,2,3576,12331,1,1
120,164841337,165671269,829932,5.919042510166,3576,12331,1,1,3585,12362,2,1
121,165671269,168497465,2826196,6.451202277388,3585,12362,2,1,5113,17631,1,2
122,168497465,169684705,1187240,6.074538520252,5113,17631,1,2,5131,17693,3,2
123,169684705,170231917,547212,5.738155612609,5131,17693,3,2,3634,12531,1,1
124,170231917,171075293,843376,5.926021238111,3634,12531,1,1,3643,12562,2,1
125,171075293,172341901,1266608,6.102642226740,3643,12562,2,1,5171,17831,1,2
126,172341901,173542585,1200684,6.079428723378,5171,17831,1,2,5189,17893,3,2
127,173542585,175709225,2166640,6.335786756727,5189,17893,3,2,3692,12731,1,1
128,175709225,176229701,520476,5.716400708279,3692,12731,1,1,5229,18031,1,2
129,176229701,176566045,336344,5.526783684761,5229,18031,1,2,3701,12762,2,1
130,176566045,180160865,3594820,6.555677149249,3701,12762,2,1,5287,18231,1,2
131,180160865,181273261,1112396,6.046259418541,5287,18231,1,2,3750,12931,1,1
132,181273261,181388437,115176,5.061361991644,3750,12931,1,1,5305,18293,3,2
133,181388437,182143525,755088,5.877997568434,5305,18293,3,2,3759,12962,2,1
134,182143525,184135393,1991868,6.299260554584,3759,12962,2,1,5345,18431,1,2
135,184135393,185376409,1241016,6.093777380747,5345,18431,1,2,5363,18493,3,2
136,185376409,186924025,1547616,6.189663211018,5363,18493,3,2,3808,13131,1,1
137,186924025,187807733,883708,5.946308786577,3808,13131,1,1,3817,13162,2,1
138,187807733,188153285,345552,5.538513410940,3817,13162,2,1,5403,18631,1,2
139,188153285,192214541,4061256,6.608660365970,5403,18631,1,2,5461,18831,1,2
140,192214541,192661517,446976,5.650284204681,5461,18831,1,2,3866,13331,1,1
141,192661517,193482445,820928,5.914305068722,3866,13331,1,1,5479,18893,3,2
142,193482445,193558669,76224,4.882091735467,5479,18893,3,2,3875,13362,2,1
143,193558669,196319161,2760492,6.440986492878,3875,13362,2,1,5519,19031,1,2
144,196319161,197600509,1281348,6.107667095361,5519,19031,1,2,5537,19093,3,2
145,197600509,198485737,885228,5.947055142324,5537,19093,3,2,3924,13531,1,1
146,198485737,199396333,910596,5.959325738239,3924,13531,1,1,3933,13562,2,1
147,199396333,200467145,1070812,6.029713229441,3933,13562,2,1,5577,19231,1,2
148,200467145,204396685,3929540,6.594341713949,5577,19231,1,2,3982,13731,1,1
149,204396685,204658493,261808,5.417982913043,3982,13731,1,1,5635,19431,1,2
150,204658493,205320725,662232,5.821010162655,5635,19431,1,2,3991,13762,2,1
151,205320725,205966729,646004,5.810235207117,3991,13762,2,1,5653,19493,3,2
152,205966729,208893205,2926476,6.466344966820,5653,19493,3,2,5693,19631,1,2
153,208893205,210214885,1321680,6.121126318193,5693,19631,1,2,5711,19693,3,2
154,210214885,210394361,179476,5.254006381803,5711,19693,3,2,4040,13931,1,1
155,210394361,211331845,937484,5.971963864377,4040,13931,1,1,4049,13962,2,1
156,211331845,213171281,1839436,6.264684681903,4049,13962,2,1,5751,19831,1,2
157,213171281,216478765,3307484,6.519497751959,5751,19831,1,2,4098,14131,1,1
158,216478765,217429693,950928,5.978147635353,4098,14131,1,1,4107,14162,2,1
159,217429693,217492721,63028,4.799533526343,4107,14162,2,1,5809,20031,1,2
160,217492721,218841289,1348568,6.129872850144,5809,20031,1,2,5827,20093,3,2
161,218841289,221857525,3016236,6.479465319123,5827,20093,3,2,5867,20231,1,2
162,221857525,222649897,792372,5.898929120501,5867,20231,1,2,4156,14331,1,1
163,222649897,223219537,569640,5.755600477766,4156,14331,1,1,5885,20293,3,2
164,223219537,223614269,394732,5.596302335061,5885,20293,3,2,4165,14362,2,1
165,223614269,226265693,2651424,6.423479183084,4165,14362,2,1,5925,20431,1,2
166,226265693,228907757,2642064,6.421943333532,5925,20431,1,2,4214,14531,1,1
167,228907757,229885573,977816,5.990257139345,4214,14531,1,1,4223,14562,2,1
168,229885573,230717225,831652,5.919941636272,4223,14562,2,1,5983,20631,1,2
169,230717225,232106125,1388900,6.142670977911,5983,20631,1,2,6001,20693,3,2
170,232106125,235212121,3105996,6.492200892095,6001,20693,3,2,6041,20831,1,2
171,235212121,235252345,40224,4.604485256006,6041,20831,1,2,4272,14731,1,1
172,235252345,236243605,991260,5.996187581585,4272,14731,1,1,4281,14762,2,1
173,236243605,236614465,370860,5.569209993975,4281,14762,2,1,6059,20893,3,2
174,236614465,239750381,3135916,6.496364420969,6059,20893,3,2,6099,21031,1,2
175,239750381,241683661,1933280,6.286294758141,6099,21031,1,2,4330,14931,1,1
176,241683661,242688365,1004704,6.002038131307,4330,14931,1,1,4339,14962,2,1
177,242688365,244332005,1643640,6.215806701809,4339,14962,2,1,6157,21231,1,2
178,244332005,245761237,1429232,6.155102731339,6157,21231,1,2,6175,21293,3,2
179,245761237,248201705,2440468,6.387473117457,6175,21293,3,2,4388,15131,1,1
180,248201705,248956993,755288,5.878112584690,4388,15131,1,1,6215,21431,1,2
181,248956993,249219853,262860,5.419724503562,6215,21431,1,2,4397,15162,2,1
182,249219853,250240085,1020232,6.008698941235,4397,15162,2,1,4406,15193,3,1
183,250240085,250399669,159584,5.202989346538,4406,15193,3,1,6233,21493,3,2
184,250399669,253625345,3225676,6.508620742942,6233,21493,3,2,6273,21631,1,2
185,253625345,254806477,1181132,6.072298435859,6273,21631,1,2,4446,15331,1,1
